t,target_x,target_y,target_h_deg,x,y,h_deg
27.737,,,,-0.0003,0.0003,0.07
27.817,,,,-0.0003,0.0003,0.07
27.884,,,,-0.0003,0.0003,0.07
27.949,,,,-0.0003,0.0003,0.07
28.008,,,,-0.0003,0.0003,0.07
28.079,,,,-0.0003,0.0003,0.07
28.133,,,,-0.0003,0.0003,0.07
28.204,,,,-0.0003,0.0003,0.07
28.266,,,,-0.0003,0.0003,0.07
28.324,,,,-0.0003,0.0003,0.07
28.381,,,,-0.0003,0.0003,0.07
28.435,,,,-0.0003,0.0003,0.07
28.496,,,,-0.0003,0.0003,0.07
28.546,,,,-0.0003,0.0003,0.07
28.598,,,,-0.0003,0.0003,0.07
28.65,,,,-0.0003,0.0003,0.07
28.709,,,,-0.0003,0.0003,0.07
28.76,,,,-0.0003,0.0003,0.07
28.829,,,,-0.0003,0.0003,0.07
28.884,,,,-0.0003,0.0003,0.07
28.983,,,,-0.0003,0.0003,0.07
29.057,,,,-0.0003,0.0003,0.07
29.125,,,,-0.0003,0.0003,0.07
29.187,,,,-0.0003,0.0003,0.07
29.242,,,,-0.0003,0.0003,0.07
29.298,,,,-0.0003,0.0003,0.07
29.357,,,,-0.0003,0.0003,0.07
29.415,,,,-0.0003,0.0003,0.07
29.476,,,,-0.0003,0.0003,0.07
29.533,,,,-0.0003,0.0003,0.07
29.587,,,,-0.0003,0.0003,0.07
29.642,,,,-0.0003,0.0003,0.07
29.698,,,,-0.0003,0.0003,0.07
29.749,,,,-0.0003,0.0003,0.07
29.818,,,,-0.0003,0.0003,0.07
29.894,,,,-0.0003,0.0003,0.07
29.97,,,,-0.0003,0.0003,0.07
30.026,,,,-0.0003,0.0003,0.07
30.085,,,,-0.0003,0.0003,0.07
30.14,,,,-0.0003,0.0003,0.07
30.193,,,,-0.0003,0.0003,0.07
30.244,,,,-0.0003,0.0003,0.07
30.295,,,,-0.0003,0.0003,0.07
30.346,,,,-0.0003,0.0003,0.07
30.397,,,,-0.0003,0.0003,0.07
30.447,,,,-0.0003,0.0003,0.07
30.498,,,,-0.0003,0.0003,0.07
30.57,,,,-0.0003,0.0003,0.07
30.631,,,,-0.0003,0.0003,0.07
30.69,,,,-0.0003,0.0003,0.07
30.742,,,,-0.0003,0.0003,0.07
30.801,,,,-0.0003,0.0003,0.07
30.852,,,,-0.0003,0.0003,0.07
30.908,,,,-0.0003,0.0003,0.07
30.965,,,,-0.0003,0.0003,0.07
31.017,,,,-0.0003,0.0003,0.07
31.07,,,,-0.0003,0.0003,0.07
31.12,,,,-0.0003,0.0003,0.07
31.171,,,,-0.0003,0.0003,0.07
31.221,,,,-0.0003,0.0003,0.07
31.272,,,,-0.0003,0.0003,0.07
31.323,,,,-0.0003,0.0003,0.07
31.374,,,,-0.0003,0.0003,0.07
31.424,,,,-0.0003,0.0003,0.07
31.475,,,,-0.0003,0.0003,0.07
31.529,,,,-0.0003,0.0003,0.07
31.58,,,,-0.0003,0.0003,0.07
31.631,,,,-0.0003,0.0003,0.07
31.682,,,,-0.0003,0.0003,0.07
31.733,,,,-0.0003,0.0003,0.07
31.784,,,,-0.0003,0.0003,0.07
31.836,,,,-0.0003,0.0003,0.07
31.888,,,,-0.0003,0.0003,0.07
31.942,,,,-0.0003,0.0003,0.07
32.009,,,,-0.0003,0.0003,0.07
32.063,,,,-0.0003,0.0003,0.07
32.119,,,,-0.0003,0.0003,0.07
32.173,,,,-0.0003,0.0003,0.07
32.226,,,,-0.0003,0.0003,0.07
32.276,,,,-0.0003,0.0003,0.07
32.327,,,,-0.0003,0.0003,0.07
32.379,,,,-0.0003,0.0003,0.07
32.429,,,,-0.0003,0.0003,0.07
32.48,,,,-0.0003,0.0003,0.07
32.531,,,,-0.0003,0.0003,0.07
32.582,,,,-0.0003,0.0003,0.07
32.633,,,,-0.0003,0.0003,0.07
32.683,,,,-0.0003,0.0003,0.07
32.734,,,,-0.0003,0.0003,0.07
32.785,,,,-0.0003,0.0003,0.07
32.836,,,,-0.0003,0.0003,0.07
32.886,,,,-0.0003,0.0003,0.07
32.937,,,,-0.0003,0.0003,0.07
32.988,,,,-0.0003,0.0003,0.07
33.039,,,,-0.0003,0.0003,0.07
33.089,,,,-0.0003,0.0003,0.07
33.14,,,,-0.0003,0.0003,0.07
33.193,,,,-0.0003,0.0003,0.07
33.244,,,,-0.0003,0.0003,0.07
33.295,,,,-0.0003,0.0003,0.07
33.345,,,,-0.0003,0.0003,0.07
33.396,,,,-0.0003,0.0003,0.07
33.447,,,,-0.0003,0.0003,0.07
33.497,,,,-0.0003,0.0003,0.07
33.548,,,,-0.0003,0.0003,0.07
33.599,,,,-0.0003,0.0003,0.07
33.649,,,,-0.0003,0.0003,0.07
33.7,,,,-0.0003,0.0003,0.07
33.75,,,,-0.0003,0.0003,0.07
33.801,,,,-0.0003,0.0003,0.07
33.851,,,,-0.0003,0.0003,0.07
33.902,,,,-0.0003,0.0003,0.07
33.953,,,,-0.0003,0.0003,0.07
34.003,,,,-0.0003,0.0003,0.07
34.054,,,,-0.0003,0.0003,0.07
