t,target_x,target_y,target_h_deg,x,y,h_deg
297.472,,,,-0.0001,0.0001,0.03
297.522,,,,-0.0001,0.0001,0.03
297.573,,,,-0.0001,0.0001,0.03
297.623,,,,-0.0001,0.0001,0.03
297.673,,,,-0.0001,0.0001,0.03
297.724,,,,-0.0001,0.0001,0.03
297.776,,,,-0.0001,0.0001,0.03
297.826,,,,-0.0001,0.0001,0.03
297.877,,,,-0.0001,0.0001,0.03
297.928,,,,-0.0001,0.0001,0.03
297.979,,,,-0.0001,0.0001,0.03
298.03,,,,-0.0001,0.0001,0.03
298.081,,,,-0.0001,0.0001,0.03
298.131,,,,-0.0001,0.0001,0.03
298.182,,,,-0.0001,0.0001,0.03
298.247,,,,-0.0001,0.0001,0.03
298.31,,,,-0.0001,0.0001,0.03
298.367,,,,-0.0001,0.0001,0.03
298.419,,,,-0.0001,0.0001,0.03
298.47,,,,-0.0001,0.0001,0.03
298.521,,,,-0.0001,0.0001,0.03
298.572,,,,-0.0001,0.0001,0.03
298.622,,,,-0.0001,0.0001,0.03
298.672,,,,-0.0001,0.0001,0.03
298.728,,,,-0.0001,0.0001,0.03
298.787,,,,-0.0001,0.0001,0.03
298.844,,,,-0.0001,0.0001,0.03
298.896,,,,-0.0001,0.0001,0.03
298.946,,,,-0.0001,0.0001,0.03
298.997,,,,-0.0001,0.0001,0.03
299.049,,,,-0.0001,0.0001,0.03
299.1,,,,-0.0001,0.0001,0.03
299.151,,,,-0.0001,0.0001,0.03
299.231,,,,-0.0001,0.0001,0.03
299.316,,,,-0.0001,0.0001,0.03
299.387,,,,-0.0001,0.0001,0.03
299.467,,,,-0.0001,0.0001,0.03
299.518,,,,-0.0001,0.0001,0.03
299.568,,,,-0.0001,0.0001,0.03
299.619,,,,-0.0001,0.0001,0.03
299.669,,,,-0.0001,0.0001,0.03
299.72,,,,-0.0001,0.0001,0.03
299.771,,,,-0.0001,0.0001,0.03
299.821,,,,-0.0001,0.0001,0.03
299.871,,,,-0.0001,0.0001,0.03
299.922,,,,-0.0001,0.0001,0.03
299.973,,,,-0.0001,0.0001,0.03
300.023,,,,-0.0001,0.0001,0.03
300.074,,,,-0.0001,0.0001,0.03
300.125,,,,-0.0001,0.0001,0.03
300.176,,,,-0.0001,0.0001,0.03
300.228,,,,-0.0001,0.0001,0.03
300.278,,,,-0.0001,0.0001,0.03
300.329,,,,-0.0001,0.0001,0.03
300.379,,,,-0.0001,0.0001,0.03
300.463,,,,-0.0001,0.0001,0.03
300.514,,,,-0.0001,0.0001,0.03
300.564,,,,-0.0001,0.0001,0.03
300.615,,,,-0.0001,0.0001,0.03
300.666,,,,-0.0001,0.0001,0.03
300.716,,,,-0.0001,0.0001,0.03
300.767,,,,-0.0001,0.0001,0.03
300.818,,,,-0.0001,0.0001,0.03
300.868,,,,-0.0001,0.0001,0.03
300.918,,,,-0.0001,0.0001,0.03
300.969,,,,-0.0001,0.0001,0.03
301.019,,,,-0.0001,0.0001,0.03
301.07,,,,-0.0001,0.0001,0.03
301.121,,,,-0.0001,0.0001,0.03
301.171,,,,-0.0001,0.0001,0.03
301.222,,,,-0.0001,0.0001,0.03
301.273,,,,-0.0001,0.0001,0.03
301.323,,,,-0.0001,0.0001,0.03
301.374,,,,-0.0001,0.0001,0.03
301.425,,,,-0.0001,0.0001,0.03
301.475,,,,-0.0001,0.0001,0.03
301.526,,,,-0.0001,0.0001,0.03
301.576,,,,-0.0001,0.0001,0.03
301.628,,,,-0.0001,0.0001,0.03
301.679,,,,-0.0001,0.0001,0.03
301.729,,,,-0.0001,0.0001,0.03
301.78,,,,-0.0001,0.0001,0.03
301.83,,,,-0.0001,0.0001,0.03
301.881,,,,-0.0001,0.0001,0.03
301.931,,,,-0.0001,0.0001,0.03
301.982,,,,-0.0001,0.0001,0.03
302.033,,,,-0.0001,0.0001,0.03
302.083,,,,-0.0001,0.0001,0.03
302.134,,,,-0.0001,0.0001,0.03
302.184,,,,-0.0001,0.0001,0.03
302.235,,,,-0.0001,0.0001,0.02
302.285,,,,-0.0001,0.0001,0.02
302.336,,,,-0.0001,0.0001,0.02
302.387,,,,-0.0001,0.0001,0.02
302.437,,,,-0.0001,0.0001,0.02
302.488,,,,-0.0001,0.0001,0.02
302.538,,,,-0.0001,0.0001,0.02
302.589,,,,-0.0001,0.0001,0.02
302.64,,,,-0.0001,0.0001,0.02
302.691,,,,-0.0001,0.0001,0.02
302.741,,,,-0.0001,0.0001,0.02
302.791,,,,-0.0001,0.0001,0.02
302.842,,,,-0.0001,0.0001,0.02
302.893,,,,-0.0001,0.0001,0.02
302.943,,,,-0.0001,0.0001,0.02
302.994,,,,-0.0001,0.0001,0.02
303.044,,,,-0.0001,0.0001,0.02
303.095,,,,-0.0001,0.0001,0.02
303.165,,,,-0.0001,0.0001,0.02
303.216,,,,-0.0001,0.0001,0.02
303.266,,,,-0.0001,0.0001,0.02
303.317,,,,-0.0001,0.0001,0.02
303.368,,,,-0.0001,0.0001,0.02
303.418,,,,-0.0001,0.0001,0.02
303.468,,,,-0.0001,0.0001,0.02
303.519,,,,-0.0001,0.0001,0.02
303.57,,,,-0.0001,0.0001,0.02
303.621,,,,-0.0001,0.0001,0.02
303.672,,,,-0.0001,0.0001,0.02
303.723,,,,-0.0001,0.0001,0.02
303.773,,,,-0.0001,0.0001,0.02
303.824,,,,-0.0001,0.0001,0.02
303.874,,,,-0.0001,0.0001,0.02
303.925,,,,-0.0001,0.0001,0.02
303.975,,,,-0.0001,0.0001,0.02
304.026,,,,-0.0001,0.0001,0.02
304.076,,,,-0.0001,0.0001,0.03
304.128,,,,-0.0001,0.0001,0.03
304.178,,,,-0.0001,0.0001,0.03
304.229,,,,-0.0001,0.0001,0.03
304.28,,,,-0.0001,0.0001,0.03
304.33,,,,-0.0001,0.0001,0.03
304.381,,,,-0.0001,0.0001,0.03
304.431,,,,-0.0001,0.0001,0.03
304.482,,,,-0.0001,0.0001,0.03
304.532,,,,-0.0001,0.0001,0.03
304.583,,,,-0.0001,0.0001,0.03
